seed,feature_policy,model,accuracy,f1_score,roc_auc,race_dp_diff,race_eo_diff,race_fpr_diff,sex_dp_diff,sex_eo_diff,sex_fpr_diff
seed_3,without_sensitive,logistic_regression,0.7008639308855291,0.6379084967320261,0.7517085675313375,0.3,0.6652719665271967,0.45454545454545453,0.08569739952718675,0.06298701298701298,0.06298701298701298
seed_3,without_sensitive,random_forest,0.6965442764578834,0.6364812419146184,0.7522871051950801,0.3,0.6610878661087866,0.45454545454545453,0.09653750792827076,0.05670995670995671,0.05670995670995671
seed_3,without_sensitive,mlp,0.6879049676025918,0.6409937888198758,0.7427906211048658,0.3,0.6652719665271967,0.45454545454545453,0.09317880412846685,0.05400432900432897,0.05400432900432897
seed_3,with_sensitive,logistic_regression,0.7019438444924406,0.6387434554973822,0.7546788645610405,0.24285714285714288,0.6610878661087866,0.40909090909090906,0.23117396067577697,0.20013331111481425,0.18062770562770564
seed_3,with_sensitive,random_forest,0.6987041036717062,0.64,0.7592036875896615,0.27142857142857146,0.6778242677824268,0.45454545454545453,0.1659891598915989,0.14130978170304953,0.11136363636363636
seed_3,with_sensitive,mlp,0.7008639308855291,0.6444159178433889,0.758944991886362,0.27142857142857146,0.6861924686192469,0.45454545454545453,0.2314766764688924,0.20140692640692637,0.20140692640692637
seed_4,without_sensitive,logistic_regression,0.6911447084233261,0.6304909560723514,0.7363702641047953,0.5191146881287726,1.0,0.3305439330543933,0.09250274155246818,0.05004966588405274,0.05004966588405274
seed_4,without_sensitive,random_forest,0.6922246220302376,0.6369426751592356,0.7430446132499235,0.5291750503018109,1.0,0.3472803347280335,0.07777330714065939,0.0226561711575336,0.017202456203720434
seed_4,without_sensitive,mlp,0.6803455723542117,0.6234096692111959,0.739225323957574,0.5372233400402414,1.0,0.3598326359832636,0.0937019242148115,0.05530973451327434,0.05530973451327434
seed_4,with_sensitive,logistic_regression,0.6943844492440605,0.6367137355584083,0.7421556407422216,0.5150905432595574,0.6976744186046512,0.3179916317991632,0.20867356196697515,0.15520588766480042,0.15520588766480042
seed_4,with_sensitive,random_forest,0.6749460043196545,0.6204287515762925,0.7465111356741374,0.5492957746478874,1.0,0.3807531380753138,0.1102301326201352,0.07548693107276216,0.047814701101679624
seed_4,with_sensitive,mlp,0.6706263498920086,0.6064516129032258,0.7313609745772678,0.545271629778672,1.0,0.37656903765690375,0.10112581161787099,0.06415929203539822,0.06415929203539822
